METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.02,0.22,0.33,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.22,0.32,0.0,0.06,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.22,0.33,0.0,0.06,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.22,0.32,0.0,0.01,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.23,0.33,0.0,0.01,OFF,OFF,0.0,0.0,WEEKDAY,5
0.02,0.27,0.34,0.0,0.02,OFF,OFF,0.0,0.0,WEEKDAY,6
0.09,0.27,0.34,0.0,0.02,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.27,0.28,0.35,0.0,0.23,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.6,0.56,0.79,0.0,0.41,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.6,0.57,0.79,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.51,0.6,0.8,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.65,0.61,0.81,0.0,0.41,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.62,0.55,0.74,0.0,0.43,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.75,0.59,0.8,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.6,0.58,0.8,0.0,0.33,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.51,0.58,0.8,0.0,0.33,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.53,0.6,0.8,0.0,0.36,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.4,0.38,0.43,0.0,0.34,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.47,0.32,0.36,0.0,0.37,OFF,OFF,0.0,0.0,WEEKDAY,19
0.47,0.31,0.36,0.0,0.36,OFF,OFF,0.0,0.0,WEEKDAY,20
0.47,0.3,0.36,0.0,0.34,OFF,OFF,0.0,0.0,WEEKDAY,21
0.28,0.29,0.35,0.0,0.18,OFF,OFF,0.0,0.0,WEEKDAY,22
0.19,0.25,0.34,0.0,0.14,OFF,OFF,0.0,0.0,WEEKDAY,23
0.11,0.22,0.33,0.0,0.09,OFF,OFF,0.0,0.0,WEEKDAY,24
