METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.03,0.06,0.21,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.05,0.21,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.06,0.21,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.05,0.21,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.08,0.21,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,5
0.03,0.14,0.22,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,6
0.05,0.15,0.23,0.0,0.0,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.22,0.17,0.23,0.0,0.2,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.32,0.25,0.5,0.0,0.41,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.34,0.29,0.63,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.31,0.35,0.82,0.0,0.37,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.47,0.37,0.82,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.68,0.35,0.82,0.0,0.38,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.62,0.34,0.81,0.0,0.36,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.46,0.32,0.81,0.0,0.34,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.35,0.32,0.81,0.0,0.34,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.41,0.35,0.82,0.0,0.34,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.52,0.3,0.67,0.0,0.37,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.63,0.28,0.67,0.0,0.42,OFF,OFF,0.0,0.0,WEEKDAY,19
0.63,0.27,0.66,0.0,0.43,OFF,OFF,0.0,0.0,WEEKDAY,20
0.58,0.24,0.54,0.0,0.4,OFF,OFF,0.0,0.0,WEEKDAY,21
0.34,0.22,0.54,0.0,0.19,OFF,OFF,0.0,0.0,WEEKDAY,22
0.19,0.12,0.22,0.0,0.15,OFF,OFF,0.0,0.0,WEEKDAY,23
0.11,0.06,0.21,0.0,0.08,OFF,OFF,0.0,0.0,WEEKDAY,24
0.03,0.06,0.18,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.05,0.18,0.0,0.05,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.06,0.18,0.0,0.05,OFF,OFF,0.0,0.0,SATURDAY,3
