BUILDING,SURFACE,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE
B1200,srf0,west,0,364273.775216941,10142692.43804265,2.5,-0.7487902283109632,0.6628070563791665,-0.0,10.226303360851484,walls
B1200,srf1,west,0,364273.77521694155,10142692.43804265,2.1538873605350943,-0.7487902283109632,0.6628070563791665,-0.0,5.507032896219888,walls
B1200,srf2,west,0,364283.5669223798,10142703.499984855,1.3461126394649123,-0.7487902283109632,0.6628070563791665,-0.0,5.507032896776795,walls
B1200,srf3,west,0,364288.8399171311,10142709.457023041,2.153887360535088,-0.7487902283109632,0.6628070563791665,-0.0,5.507032896219883,walls
B1200,srf4,west,0,364281.3075670369,10142700.947532846,1.3461126394649199,-0.7487902283109632,0.6628070563791665,-0.0,10.226303360713917,walls
B1200,srf5,west,0,364288.8399171316,10142709.457023041,2.5,-0.7487902283109632,0.6628070563791665,-0.0,10.226303360157003,walls
B1200,srf6,west,0,364281.30756703636,10142700.947532846,3.6538873605350877,-0.7487902283109632,0.6628070563791665,-0.0,10.226303360713912,walls
B1200,srf7,west,0,364283.56692237954,10142703.499984855,3.65388736053508,-0.7487902283109632,0.6628070563791665,-0.0,5.507032896776791,walls
B1200,srf8,west,0,364293.7219482078,10142710.463365525,2.5,-0.7485523417779475,0.6630757057974231,-0.0,1.650421863720646,walls
B1200,srf9,west,0,364293.72194820695,10142710.463365527,2.15388736053508,-0.7485523417779475,0.6630757057974231,-0.0,0.8887793730718536,walls
B1200,srf10,west,0,364295.3028708824,10142712.248083867,1.3461126394649123,-0.7485523417779475,0.6630757057974231,-0.0,0.8887793726571744,walls
B1200,srf11,west,0,364294.9380860019,10142711.836274818,1.3461126394649057,-0.7485523417779475,0.6630757057974231,-0.0,1.650421862058984,walls
B1200,srf12,west,0,364296.15422379767,10142713.209184106,2.1538873605350877,-0.7485523417779475,0.6630757057974231,-0.0,0.8887793730718638,walls
B1200,srf13,west,0,364296.1542237978,10142713.209184106,2.5,-0.7485523417779475,0.6630757057974231,-0.0,1.6504218624736793,walls
B1200,srf14,west,0,364294.9380860025,10142711.836274818,3.6538873605350877,-0.7485523417779475,0.6630757057974231,-0.0,1.6504218620589888,walls
B1200,srf15,west,0,364295.30287088105,10142712.248083869,3.6538873605350943,-0.7485523417779475,0.6630757057974231,-0.0,0.8887793726571769,walls
B1200,srf16,west,0,364251.08848056244,10142693.14854396,2.5,-0.8484307941756144,0.5293063267093417,-0.0,3.1019958783134682,walls
B1200,srf17,west,0,364251.08848056075,10142693.14854396,2.8461126394649123,-0.8484307941756144,0.5293063267093417,-0.0,1.6704759035272316,walls
B1200,srf18,west,0,364253.4604049841,10142696.95052708,1.3461126394649123,-0.8484307941756144,0.5293063267093417,-0.0,1.670475903257974,walls
B1200,srf19,west,0,364252.9131029676,10142696.073250804,1.3461126394649057,-0.8484307941756144,0.5293063267093417,-0.0,3.101995877877149,walls
B1200,srf20,west,0,364254.7377253746,10142698.997957649,2.8461126394649057,-0.8484307941756144,0.5293063267093417,-0.0,1.6704759037512242,walls
B1200,srf21,west,0,364254.7377253766,10142698.997957649,2.5,-0.8484307941756144,0.5293063267093417,-0.0,3.101995877989984,walls
B1200,srf22,west,0,364252.9131029675,10142696.073250804,3.6538873605350877,-0.8484307941756144,0.5293063267093417,-0.0,3.1019958778984806,walls
B1200,srf23,west,0,364253.4604049845,10142696.95052708,3.65388736053508,-0.8484307941756144,0.5293063267093417,-0.0,1.6704759032579894,walls
B1200,srf24,west,0,364273.775216941,10142692.43804265,5.5,-0.7487902283109632,0.6628070563791665,-0.0,10.226303360851484,walls
