BUILDING,SURFACE,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE
B1301,srf0,west,0,363742.5786457436,10143638.535928542,2.5,-0.9997268026806313,-0.023373489297965566,0.0,7.4254924944822385,walls
B1301,srf1,west,0,363742.57864574326,10143638.535928542,2.1538873605350943,-0.9997268026806313,-0.023373489297965566,0.0,3.9987500856927163,walls
B1301,srf2,west,0,363742.4436250427,10143644.311010381,1.3461126394649057,-0.9997268026806313,-0.023373489297965566,0.0,3.998750084933464,walls
B1301,srf3,west,0,363742.19289789576,10143655.035068132,2.1538873605350877,-0.9997268026806313,-0.023373489297965566,0.0,3.9987500826843396,walls
B1301,srf4,west,0,363742.3857718196,10143646.785498336,1.3461126394649199,-0.9997268026806313,-0.023373489297965566,0.0,7.425492492433972,walls
B1301,srf5,west,0,363742.1928978957,10143655.035068132,2.5,-0.9997268026806313,-0.023373489297965566,0.0,7.425492488895825,walls
B1301,srf6,west,0,363742.3857718196,10143646.785498336,3.6538873605350877,-0.9997268026806313,-0.023373489297965566,0.0,7.425492492433972,walls
B1301,srf7,west,0,363742.3279185965,10143649.259986293,3.6538873605350943,-0.9997268026806313,-0.023373489297965566,0.0,3.9987500849334507,walls
B1301,srf8,west,0,363737.0440579693,10143659.516796488,2.5,-0.9987494721028278,-0.04999491948511291,0.0,7.019067246628822,walls
B1301,srf9,west,0,363737.0440579693,10143659.516796488,2.1538873605350943,-0.9987494721028278,-0.04999491948511291,0.0,3.7798833915455905,walls
B1301,srf10,west,0,363736.53711649723,10143669.643976066,1.346112639464912,-0.9987494721028278,-0.04999491948511291,0.0,3.779883393082362,walls
B1301,srf11,west,0,363736.26412015985,10143675.097629175,2.1538873605350877,-0.9987494721028278,-0.04999491948511291,0.0,3.7798833930483164,walls
B1301,srf12,west,0,363736.6540890646,10143667.307212831,1.3461126394649057,-0.9987494721028278,-0.04999491948511291,0.0,7.019067248809451,walls
B1301,srf13,west,0,363736.2641201598,10143675.097629175,2.5,-0.9987494721028278,-0.04999491948511291,0.0,7.019067249419296,walls
B1301,srf14,west,0,363736.65408906445,10143667.307212831,3.6538873605350877,-0.9987494721028278,-0.04999491948511291,0.0,7.019067248809467,walls
B1301,srf15,west,0,363736.5371164973,10143669.643976066,3.65388736053508,-0.9987494721028278,-0.04999491948511291,0.0,3.779883393082353,walls
B1301,srf16,west,0,363740.5900342397,10143680.37700073,2.5,-0.9999629532187455,-0.008607682036708909,0.0,6.776983282006881,walls
B1301,srf17,west,0,363740.59003423975,10143680.37700073,2.1538873605350943,-0.9999629532187455,-0.008607682036708909,0.0,3.649517186880222,walls
B1301,srf18,west,0,363740.544653228,10143685.648957845,1.3461126394649057,-0.9999629532187455,-0.008607682036708909,0.0,3.649517186199649,walls
B1301,srf19,west,0,363740.46038280457,10143695.438736435,2.1538873605350877,-0.9999629532187455,-0.008607682036708909,0.0,3.6495171853752844,walls
B1301,srf20,west,0,363740.52520852216,10143687.907868583,1.3461126394649057,-0.9999629532187455,-0.008607682036708909,0.0,6.7769832806814705,walls
B1301,srf21,west,0,363740.4603828046,10143695.438736435,2.5,-0.9999629532187455,-0.008607682036708909,0.0,6.776983279212256,walls
B1301,srf22,west,0,363740.52520852216,10143687.907868583,3.6538873605350877,-0.9999629532187455,-0.008607682036708909,0.0,6.7769832806814705,walls
B1301,srf23,west,0,363740.5057638164,10143690.16677932,3.6538873605350943,-0.9999629532187455,-0.008607682036708909,0.0,3.6495171861996694,walls
B1301,srf24,west,0,363733.2420879859,10143699.381350102,2.5,-0.9954116017766875,-0.09568564703428241,0.0,5.566549489276312,walls
B1301,srf25,west,0,363733.2420879857,10143699.381350102,2.846112639464912,-0.9954116017766875,-0.09568564703428241,0.0,2.9976786406733327,walls
B1301,srf26,west,0,363732.47262910305,10143707.385981128,1.3461126394649123,-0.9954116017766875,-0.09568564703428241,0.0,2.997678641086181,walls
B1301,srf27,west,0,363732.65017539944,10143705.538978478,1.3461126394649057,-0.9954116017766875,-0.09568564703428241,0.0,5.566549489674378,walls
B1301,srf28,west,0,363732.0582628131,10143711.696606856,2.8461126394649057,-0.9954116017766875,-0.09568564703428241,0.0,2.9976786406778313,walls
B1301,srf29,west,0,363732.058262813,10143711.696606856,2.5,-0.9954116017766875,-0.09568564703428241,0.0,5.5665494892679535,walls
B1301,srf30,west,0,363732.6501753995,10143705.538978478,3.6538873605350877,-0.9954116017766875,-0.09568564703428241,0.0,5.566549489674373,walls
B1301,srf31,west,0,363732.4726291027,10143707.385981126,3.6538873605350943,-0.9954116017766875,-0.09568564703428241,0.0,2.997678641086172,walls
