BUILDING,SURFACE,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE
B1300,srf0,west,0,363720.19899344834,10143820.945226094,2.5,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269563134,walls
B1300,srf1,west,0,363720.1989934485,10143820.945226094,2.846112639464912,-0.9378181096193599,0.34712705637845426,-0.0,13.400844059911119,walls
B1300,srf2,west,0,363732.67783197766,10143854.658762809,1.3461126394649123,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062075759,walls
B1300,srf3,west,0,363739.39789218566,10143872.814057954,2.1538873605350877,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062733215,walls
B1300,srf4,west,0,363729.79844281834,10143846.879642025,1.3461126394649057,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269900516,walls
B1300,srf5,west,0,363739.3978921864,10143872.814057954,2.5,-0.9378181096193599,0.34712705637845426,-0.0,24.884742700871826,walls
B1300,srf6,west,0,363729.79844281735,10143846.879642025,3.6538873605350877,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269900517,walls
B1300,srf7,west,0,363732.6778319787,10143854.658762809,3.6538873605350943,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062075766,walls
B1300,srf8,west,0,363773.3977913165,10143855.751265189,2.5,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534411328,walls
B1300,srf9,west,0,363773.397791316,10143855.751265189,2.846112639464912,-0.9378047766065606,0.3471630754759483,-0.0,2.4824864100623847,walls
B1300,srf10,west,0,363775.7097174431,10143861.996558879,1.346112639464912,-0.9378047766065606,0.3471630754759483,-0.0,2.4824864102182205,walls
B1300,srf11,west,0,363776.95472776523,10143865.359752456,2.153887360535088,-0.9378047766065606,0.3471630754759483,-0.0,2.4824864100623847,walls
B1300,srf12,west,0,363775.1762595412,10143860.555508822,1.3461126394649057,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534520539,walls
B1300,srf13,west,0,363776.95472776546,10143865.359752456,2.5,-0.9378047766065606,0.3471630754759483,-0.0,4.6098615343647,walls
B1300,srf14,west,0,363775.1762595411,10143860.555508822,3.6538873605350877,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534520541,walls
B1300,srf15,west,0,363775.7097174431,10143861.996558879,3.65388736053508,-0.9378047766065606,0.3471630754759483,-0.0,2.482486410218236,walls
B1300,srf16,west,0,363720.19899344834,10143820.945226094,5.5,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269563134,walls
B1300,srf17,west,0,363720.1989934485,10143820.945226094,5.846112639464912,-0.9378181096193599,0.34712705637845426,-0.0,13.400844059911119,walls
B1300,srf18,west,0,363732.67783197766,10143854.658762809,4.346112639464913,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062075759,walls
B1300,srf19,west,0,363739.39789218566,10143872.814057954,5.153887360535087,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062733212,walls
B1300,srf20,west,0,363729.79844281834,10143846.879642025,4.346112639464906,-0.9378181096193599,0.34712705637845426,-0.0,24.884742699005173,walls
B1300,srf21,west,0,363739.3978921864,10143872.814057954,5.5,-0.9378181096193599,0.34712705637845426,-0.0,24.884742700871826,walls
B1300,srf22,west,0,363729.79844281735,10143846.879642025,6.653887360535087,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269900517,walls
B1300,srf23,west,0,363732.6778319787,10143854.658762809,6.65388736053508,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062075766,walls
B1300,srf24,west,0,363773.3977913165,10143855.751265189,5.5,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534411328,walls
B1300,srf25,west,0,363773.3977913173,10143855.751265187,5.846112639464912,-0.9378047766065606,0.3471630754759483,-0.0,2.4824864100623847,walls
B1300,srf26,west,0,363775.7097174431,10143861.996558879,4.346112639464912,-0.9378047766065606,0.3471630754759483,-0.0,2.482486410218223,walls
B1300,srf27,west,0,363776.95472776523,10143865.359752456,5.153887360535088,-0.9378047766065606,0.3471630754759483,-0.0,2.4824864100623842,walls
B1300,srf28,west,0,363775.1762595412,10143860.555508822,4.346112639464906,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534520541,walls
B1300,srf29,west,0,363776.95472776546,10143865.359752456,5.5,-0.9378047766065606,0.3471630754759483,-0.0,4.6098615343647,walls
B1300,srf30,west,0,363775.1762595411,10143860.555508822,6.653887360535088,-0.9378047766065606,0.3471630754759483,-0.0,4.609861534520541,walls
B1300,srf31,west,0,363775.7097174431,10143861.996558879,6.653887360535094,-0.9378047766065606,0.3471630754759483,-0.0,2.482486410218236,walls
B1300,srf32,west,0,363720.19899344834,10143820.945226094,8.5,-0.9378181096193599,0.34712705637845426,-0.0,24.88474269563134,walls
B1300,srf33,west,0,363720.1989934485,10143820.945226094,8.846112639464913,-0.9378181096193599,0.34712705637845426,-0.0,13.40084405991114,walls
B1300,srf34,west,0,363732.67783197766,10143854.658762809,7.346112639464913,-0.9378181096193599,0.34712705637845426,-0.0,13.400844062075759,walls
