X,Y,Z,Name,REFERENCE,category,floors_ag,floors_bg,height_ag,height_bg,gh_height
103.7722882,1.296042136,66.5386,B1000,NUS - OED,yes,7,0,21,3,66.5386
103.7764344,1.299056708,24.86442,B1001,OSM - as it is,yes,3,0,9,3,24.86442
103.7725091,1.297544886,63.92968,B1002,OSM - as it is,yes,5,0,15,3,63.92968
103.7730649,1.29654873,64.01325,B1003,OSM - as it is,yes,7,0,21,3,64.01325
103.7748168,1.298462603,50.69537,B1004,OSM - as it is,yes,4,0,12,3,50.69537
103.772428,1.298002852,71.32577,B1005,OSM - as it is,yes,4,1,12,3,71.32577
103.7722066,1.301694138,34.22046,B1006,OSM - as it is,yes,4,1,12,3,34.22046
103.7744394,1.293018177,35.56797,B1007,User - Input,yes,4,0,12,3,35.56797
103.7756725,1.292444973,52.46796,B1008,User - Input,yes,5,0,18,3,52.46796
103.7730696,1.293875885,35.50618,B1009,User - Input,yes,2,1,6,3,35.50618
103.7750026,1.29348305,43.33531,B1010,User - Input,yes,4,0,12,3,43.33531
103.7743952,1.294235426,38.96165,B1011,OSM - as it is,yes,2,1,6,3,38.96165
103.7741049,1.293922276,50.59907,B1012,OSM - as it is,yes,4,0,12,3,50.59907
103.775702,1.294561925,42.71266,B1013,OSM - as it is,yes,6,1,18,3,42.71266
103.7707384,1.29852935,46.21467,B1014,User - Input,yes,2,0,12,3,46.21467
103.7738861,1.294931084,39.80737,B1015,User - Input,yes,3,0,9,3,39.80737
103.7731626,1.295578043,62.54879,B1016,OSM - as it is,yes,6,0,18,3,62.54879
103.7750884,1.295594357,31.90759,B1017,User - Input,yes,2,0,6,3,31.90759
103.7737418,1.299194567,33.08099,B1018,User - Input,yes,3,0,9,3,33.08099
103.7757846,1.299230835,30.5403,B1019,OSM - as it is,yes,3,1,9,3,30.5403
103.7736123,1.301516994,33.51784,B1020,OSM - as it is,yes,4,0,12,3,33.51784
103.7747233,1.301485,16.69606,B1021,User - Input,yes,2,1,6,3,16.69606
103.7763245,1.300355445,23.64236,B1022,User - Input,yes,2,0,6,3,23.64236
103.7747874,1.29471335,19.78923,B1023,OSM - median values of all buildings,yes,1,1,3,3,19.78923
103.7772289,1.29384285,43.53709,B1024,OSM - as it is,yes,4,1,12,3,43.53709
103.7772138,1.294243345,61.16768,B1025,User - Input,yes,5,1,15,3,61.16768
103.7727648,1.30227241,28.92746,B1026,OSM - as it is,yes,4,0,12,3,28.92746
103.7734487,1.302242024,11.85107,B1027,User - Input,yes,2,1,6,3,11.85107
103.7737098,1.30203435,15.91186,B1028,User - Input,yes,2,1,6,3,15.91186
103.7738519,1.305935998,27.41476,B1029,OSM - as it is,yes,5,1,15,3,27.41476
103.773705,1.30621148,18.61682,B1030,OSM - as it is,yes,21,1,63,3,18.61682
103.773609,1.306456533,22.67681,B1031,OSM - as it is,yes,4,1,12,3,22.67681
103.7734799,1.3059207,22.18413,B1032,OSM - as it is,yes,3,1,9,3,22.18413
103.7734793,1.30668105,83.76682,B1033,OSM - as it is,yes,21,1,63,3,83.76682
103.7731459,1.307600426,79.8501,B1034,OSM - as it is,yes,19,0,57,3,79.8501
103.7731361,1.307313523,34.2619,B1035,OSM - as it is,yes,4,0,12,3,34.2619
103.7732766,1.307898058,30.38671,B1036,OSM - as it is,yes,5,0,15,3,30.38671
103.7730338,1.3068411,26.61579,B1037,OSM - as it is,yes,3,1,9,3,26.61579
103.7732938,1.307019373,27.84635,B1038,User - Input,yes,3,1,9,3,27.84635
103.7729665,1.30835679,34.07974,B1039,OSM - as it is,yes,4,0,12,3,34.07974
103.7732868,1.308241805,80.21738,B1040,OSM - as it is,yes,19,0,57,3,80.21738
103.7731477,1.30657385,26.61579,B1041,OSM - as it is,yes,3,1,9,3,26.61579
103.7728831,1.305962699,15.91122,B1042,User - Input,yes,4,0,12,3,15.91122
103.773152,1.305530783,31.71723,B1043,OSM - as it is,yes,5,1,15,3,31.71723
103.7715113,1.305398677,10.2702,B1044,User - Input,yes,2,1,6,3,10.2702
103.7724775,1.304645106,27.82853,B1045,User - Input,university,3,0,15,3,27.82853
103.7735902,1.303827729,111.01903,B1046,OSM - as it is,school,17,1,51,3,111.01903
103.7720998,1.299731438,80.92681,B1047,OSM - as it is,yes,11,0,33,3,80.92681
103.7730429,1.299163956,60.94613,B1048,OSM - as it is,yes,8,1,24,3,60.94613
103.7725169,1.299139354,60.07851,B1049,OSM - as it is,yes,7,0,21,3,60.07851
103.7725727,1.298628121,57.49116,B1050,OSM - as it is,yes,8,0,24,3,57.49116
103.7719722,1.298787266,59.26685,B1051,OSM - as it is,yes,3,1,9,3,59.26685
103.7721174,1.298594029,71.22857,B1052,OSM - as it is,yes,8,0,24,3,71.22857
103.7717227,1.299438326,61.43962,B1053,OSM - as it is,yes,6,0,18,3,61.43962
103.7710635,1.300085576,51.2727,B1054,OSM - as it is,yes,3,1,9,3,51.2727
103.7714355,1.300273794,57.33698,B1055,OSM - as it is,yes,7,0,21,3,57.33698
103.7713087,1.299495643,65.02173,B1056,User - Input,yes,3,1,9,3,65.02173
103.771411,1.299316887,69.45642,B1057,User - Input,yes,3,1,9,3,69.45642
103.7711884,1.29930719,75.66795,B1058,OSM - as it is,yes,6,0,18,3,75.66795
103.7712892,1.299690615,47.53495,B1059,OSM - median values of all buildings,yes,1,1,3,3,47.53495
103.7714427,1.299179474,38.77219,B1060,OSM - median values of all buildings,yes,1,1,3,3,38.77219
103.7722597,1.298635664,40.50127,B1061,OSM - median values of all buildings,yes,1,1,3,3,40.50127
103.7726523,1.298104168,56.33737,B1062,OSM - median values of all buildings,yes,1,1,3,3,56.33737
103.7710908,1.298703313,72.93986,B1063,OSM - as it is,yes,9,0,27,3,72.93986
103.7707833,1.299370438,67.78434,B1064,User - Input,yes,8,0,27,3,67.78434
103.770896,1.299590234,35.21077,B1065,OSM - median values of all buildings,yes,1,1,3,3,35.21077
103.7712427,1.299594165,56.79326,B1066,OSM - median values of all buildings,yes,1,1,3,3,56.79326
103.771978,1.299402011,62.34659,B1067,OSM - median values of all buildings,yes,1,1,3,3,62.34659
103.7706779,1.300289761,27.77271,B1068,User - Input,yes,7,0,24,3,27.77271
103.7709112,1.300171527,41.46222,B1069,OSM - median values of all buildings,yes,1,1,3,3,41.46222
103.7706041,1.299983351,42.06333,B1070,OSM - as it is,yes,3,1,9,3,42.06333
103.7709215,1.299746093,53.03351,B1071,OSM - median values of all buildings,yes,1,1,3,3,53.03351
103.7711824,1.299829486,48.66966,B1072,OSM - median values of all buildings,yes,1,1,3,3,48.66966
103.771012,1.29991056,42.16004,B1073,OSM - median values of all buildings,yes,1,1,3,3,42.16004
103.7705777,1.29968856,56.38481,B1074,OSM - as it is,yes,3,1,9,3,56.38481
103.7713409,1.298306155,42.52865,B1075,User - Input,yes,4,1,12,3,42.52865
103.7715493,1.298587964,63.74991,B1076,OSM - median values of all buildings,yes,1,1,3,3,63.74991
103.7725311,1.297779186,68.23359,B1077,OSM - median values of all buildings,yes,1,1,3,3,68.23359
103.7721408,1.298312451,59.98263,B1078,OSM - median values of all buildings,yes,1,1,3,3,59.98263
103.7711799,1.2989908,76.93789,B1079,OSM - median values of all buildings,yes,1,1,3,3,76.93789
103.7710307,1.299130417,52.5915,B1080,OSM - median values of all buildings,yes,1,1,3,3,52.5915
103.7711353,1.2972741,42.56016,B1081,OSM - as it is,yes,5,1,15,3,42.56016
103.7706756,1.297321352,49.38908,B1082,OSM - as it is,yes,6,1,18,3,49.38908
103.7704361,1.297951467,47.11625,B1083,OSM - as it is,yes,5,1,15,3,47.11625
103.770862,1.297241166,55.16953,B1084,OSM - as it is,yes,5,1,15,3,55.16953
103.7709854,1.297526081,41.43109,B1085,OSM - as it is,yes,5,1,15,3,41.43109
103.7714101,1.296966973,48.46351,B1086,User - Input,yes,2,0,12,3,48.46351
103.7741435,1.292489485,56.73258,B1087,OSM - as it is,yes,9,0,27,3,56.73258
103.7724755,1.29466986,49.15778,B1088,User - Input,yes,2,1,6,3,49.15778
103.7734068,1.296946314,61.70832,B1089,OSM - as it is,yes,7,1,21,3,61.70832
103.773789,1.296911671,74.49604,B1090,OSM - as it is,yes,6,0,18,3,74.49604
103.777857,1.296991263,56.33275,B1091,OSM - as it is,yes,6,0,18,3,56.33275
103.7774607,1.297179386,46.39275,B1092,OSM - as it is,yes,6,0,18,3,46.39275
103.7797324,1.296852927,44.57406,B1093,OSM - as it is,school,6,0,18,3,44.57406
103.7733433,1.297671549,60.3786,B1094,OSM - as it is,yes,4,1,12,3,60.3786
103.7735177,1.297580355,67.62383,B1095,OSM - as it is,yes,4,1,12,3,67.62383
103.772692,1.295986827,48.76637,B1096,OSM - median values of all buildings,yes,1,1,3,3,48.76637
103.7787059,1.296961754,38.80277,B1097,OSM - as it is,school,5,0,15,3,38.80277
103.778772,1.296651936,38.80277,B1098,User - Input,yes,5,1,15,3,38.80277
103.7792525,1.296743427,43.18277,B1099,OSM - as it is,school,6,0,18,3,43.18277
103.778886,1.296329764,41.00425,B1100,User - Input,yes,5,0,15,3,41.00425
103.7793303,1.296116411,45.49153,B1101,User - Input,yes,5,0,15,3,45.49153
103.7783431,1.29604208,47.12531,B1102,User - Input,yes,6,0,18,3,47.12531
103.7779209,1.295779786,47.64032,B1103,User - Input,yes,3,0,9,3,47.64032
103.7779829,1.295481835,47.24794,B1104,User - Input,yes,6,0,18,3,47.24794
103.7786304,1.295558456,56.26445,B1105,User - Input,yes,6,0,18,3,56.26445
103.7788018,1.295821556,40.3608,B1106,OSM - median values of all buildings,yes,1,1,3,3,40.3608
103.7791811,1.295611821,53.02057,B1107,User - Input,yes,6,0,18,3,53.02057
103.77922,1.295820811,39.13629,B1108,User - Input,yes,3,0,9,3,39.13629
103.7797361,1.295475089,51.13172,B1109,User - Input,yes,6,0,18,3,51.13172
103.779459,1.29535513,38.62433,B1110,User - Input,yes,3,1,9,3,38.62433
103.7795576,1.29577249,30.21431,B1111,User - Input,yes,1,0,3,0,30.21431
103.7799918,1.295883969,107.84114,B1112,User - Input,yes,16,1,48,3,107.84114
103.7796735,1.296276364,30.11277,B1113,User - Input,yes,5,1,15,3,30.11277
103.7803812,1.296768061,33.60082,B1114,User - Input,yes,9,0,27,3,33.60082
103.78025,1.29714675,44.85992,B1115,User - Input,school,6,0,18,3,44.85992
103.7812816,1.297116399,28.6012,B1116,User - Input,yes,3,1,9,3,28.6012
103.7811624,1.297226449,28.56117,B1117,User - Input,yes,3,1,9,3,28.56117
103.7808505,1.296998533,29.68096,B1118,User - Input,yes,3,1,9,3,29.68096
103.7810952,1.296954125,19.89058,B1119,OSM - median values of all buildings,yes,1,1,3,3,19.89058
103.7812825,1.296707491,36.13684,B1120,User - Input,yes,4,0,12,3,36.13684
103.7817906,1.296494805,35.32807,B1121,User - Input,yes,4,0,12,3,35.32807
103.7806778,1.296494672,26.44582,B1122,User - Input,yes,2,1,6,3,26.44582
103.7811247,1.296419951,31.90106,B1123,User - Input,yes,3,1,9,3,31.90106
103.7814292,1.296265408,93.30852,B1124,User - Input,yes,14,1,42,3,93.30852
103.7811691,1.296035591,44.88118,B1125,User - Input,yes,5,0,15,3,44.88118
103.7817774,1.296006399,56.79249,B1126,User - Input,yes,8,0,24,3,56.79249
103.7806172,1.296142515,32.67977,B1127,User - Input,yes,2,1,6,3,32.67977
103.7806955,1.296042953,29.27676,B1128,User - Input,yes,2,1,6,3,29.27676
103.7805715,1.295781262,37.40044,B1129,User - Input,yes,2,1,6,3,37.40044
103.7809416,1.29574139,49.95471,B1130,User - Input,yes,5,0,15,3,49.95471
103.7809025,1.296687507,19.64247,B1131,User - Input,yes,1,0,3,0,19.64247
103.7808415,1.295614018,47.05176,B1132,User - Input,yes,5,0,15,3,47.05176
103.7814014,1.295632882,26.46879,B1133,User - Input,yes,2,1,6,3,26.46879
103.7805543,1.295332467,112.38676,B1134,OSM - as it is,yes,18,0,54,3,112.38676
103.7811295,1.295333359,51.37676,B1135,User - Input,yes,5,0,15,3,51.37676
103.7811902,1.29492192,44.89176,B1136,User - Input,yes,5,0,15,3,44.89176
103.7817411,1.295285837,111.45249,B1137,User - Input,yes,19,0,57,3,111.45249
103.7802291,1.295078467,58.90334,B1138,User - Input,yes,6,0,18,3,58.90334
103.7807744,1.294447463,63.79172,B1139,User - Input,university,6,0,18,3,63.79172
103.781761,1.29690238,30.52852,B1140,OSM - as it is,yes,4,1,12,3,30.52852
103.7808191,1.297718645,42.66359,B1141,OSM - as it is,yes,5,1,15,3,42.66359
103.7805449,1.297721246,55.56359,B1142,OSM - as it is,yes,9,0,27,3,55.56359
103.7809512,1.297763111,34.35859,B1143,OSM - as it is,yes,5,1,15,3,34.35859
103.779682,1.296039384,43.19777,B1144,OSM - median values of all buildings,yes,1,1,3,3,43.19777
103.7714005,1.295441953,33.28692,B1145,User - Input,yes,2,1,6,3,33.28692
103.7713505,1.295227572,29.00655,B1146,OSM - as it is,yes,6,0,18,3,29.00655
103.7721332,1.295208831,56.85497,B1147,OSM - as it is,yes,6,0,18,3,56.85497
103.7708957,1.295066205,36.20414,B1148,User - Input,yes,2,1,6,3,36.20414
103.771137,1.294972276,37.4413,B1149,User - Input,yes,2,1,6,3,37.4413
103.771275,1.294757875,44.73079,B1150,OSM - as it is,yes,6,0,18,3,44.73079
103.7712796,1.294971425,34.01147,B1151,User - Input,yes,2,1,6,3,34.01147
103.7710468,1.295013301,33.64813,B1152,OSM - median values of all buildings,yes,1,1,3,3,33.64813
103.771819,1.294550761,51.46267,B1153,OSM - as it is,yes,6,0,18,3,51.46267
103.7715703,1.294969344,37.53605,B1154,OSM - median values of all buildings,yes,1,1,3,3,37.53605
103.7722343,1.294940524,52.51237,B1155,User - Input,yes,2,1,6,3,52.51237
103.7720023,1.294868384,47.82903,B1156,User - Input,yes,2,1,6,3,47.82903
103.7725539,1.295766513,48.76637,B1157,OSM - median values of all buildings,yes,1,1,3,3,48.76637
103.7721103,1.294937615,44.50644,B1158,OSM - median values of all buildings,yes,1,1,3,3,44.50644
103.7723471,1.295049577,48.47342,B1159,OSM - median values of all buildings,yes,1,1,3,3,48.47342
103.7730366,1.295993233,48.03754,B1160,OSM - median values of all buildings,yes,1,1,3,3,48.03754
103.7734264,1.295518439,48.20528,B1161,OSM - median values of all buildings,yes,1,1,3,3,48.20528
103.7733717,1.295707974,47.22825,B1162,OSM - median values of all buildings,yes,1,1,3,3,47.22825
103.7710956,1.294312418,59.06006,B1163,User - Input,university,6,0,18,3,59.06006
103.7713795,1.294536812,41.4869,B1164,OSM - median values of all buildings,yes,1,1,3,3,41.4869
103.7732501,1.295717625,45.44228,B1165,OSM - median values of all buildings,yes,1,1,3,3,45.44228
103.771691,1.294663916,46.72496,B1166,OSM - median values of all buildings,yes,1,1,3,3,46.72496
103.7718996,1.294830111,38.33647,B1167,OSM - median values of all buildings,yes,1,1,3,3,38.33647
103.7717979,1.294195118,55.45588,B1168,OSM - as it is,yes,6,0,18,3,55.45588
103.7719792,1.29414038,46.88101,B1169,User - Input,yes,2,1,6,3,46.88101
103.7736134,1.293249053,37.08118,B1170,User - Input,yes,5,0,15,3,37.08118
103.7738568,1.293919523,41.10559,B1171,User - Input,yes,2,1,6,3,41.10559
103.7740012,1.293606539,41.07347,B1172,User - Input,yes,2,1,6,3,41.07347
103.7746046,1.293311193,35.56797,B1173,User - Input,yes,2,1,6,3,35.56797
103.7745365,1.293447351,30.14411,B1174,OSM - median values of all buildings,yes,1,1,3,3,30.14411
103.7744541,1.293646061,39.35642,B1175,User - Input,yes,2,1,6,3,39.35642
