X,Y,Z,Name,REFERENCE,category,floors_ag,floors_bg,height_ag,height_bg,gh_height
103.7743727,1.293814643,42.75927,B1176,User - Input,yes,2,1,6,3,42.75927
103.7766958,1.29390865,41.29309,B1177,OSM - as it is,yes,5,1,15,3,41.29309
103.7757688,1.300301042,22.41648,B1178,User - Input,yes,2,0,6,3,22.41648
103.7760021,1.300746863,28.29577,B1179,OSM - as it is,yes,5,0,15,3,28.29577
103.7703768,1.293255617,32.56841,B1180,User - Input,yes,4,0,12,3,32.56841
103.7702657,1.293490749,32.81251,B1181,User - Input,yes,4,0,12,3,32.81251
103.7700163,1.293054004,28.18927,B1182,User - Input,yes,4,0,12,3,28.18927
103.7700189,1.29399831,33.78014,B1183,User - Input,yes,4,0,12,3,33.78014
103.7696835,1.293490371,28.01309,B1184,User - Input,yes,4,0,12,3,28.01309
103.7713711,1.29269084,37.40279,B1185,User - Input,yes,4,0,12,3,37.40279
103.7708118,1.293041024,32.64667,B1186,User - Input,yes,4,0,12,3,32.64667
103.7718015,1.292666274,34.06575,B1187,User - Input,yes,4,0,12,3,34.06575
103.7709619,1.292645639,30.71339,B1188,User - Input,yes,4,0,12,3,30.71339
103.772217,1.292644963,36.40094,B1189,User - Input,yes,4,0,12,3,36.40094
103.7705461,1.29266806,28.41848,B1190,User - Input,yes,4,0,12,3,28.41848
103.7732959,1.297327732,54.86881,B1191,OSM - median values of all buildings,yes,1,1,3,3,54.86881
103.7754281,1.293374017,41.3651,B1192,OSM - median values of all buildings,yes,1,1,3,3,41.3651
103.7742109,1.297563381,83.5,B1193,User - Input,yes,3,0,9,3,83.5
103.7767802,1.29550693,85.79345,B1194,User - Input,yes,1,1,9,3,85.79345
103.779196,1.292538452,32.04502,B1195,User - Input,yes,2,0,6,3,32.04502
103.7795757,1.292295358,28.44283,B1196,User - Input,yes,2,0,6,3,28.44283
103.7795841,1.291335582,22.67779,B1197,OSM - as it is,dormitory,8,0,24,3,22.67779
103.7798654,1.291847452,64.86428,B1198,User - Input,dormitory,13,0,39,3,64.86428
103.7796419,1.291644385,64.86429,B1199,User - Input,dormitory,13,0,39,3,64.86429
103.7801303,1.290720873,46.85683,B1200,OSM - as it is,dormitory,8,0,24,3,46.85683
103.779916,1.29106186,20.5248,B1201,OSM - as it is,dormitory,8,0,24,3,20.5248
103.7805347,1.290362817,39.95681,B1202,OSM - as it is,dormitory,8,0,24,3,39.95681
103.7811733,1.2908151,49.42904,B1203,OSM - as it is,dormitory,8,0,24,3,49.42904
103.78005,1.2917884,25.28798,B1204,OSM - as it is,dormitory,10,0,30,3,25.28798
103.7803051,1.291190681,34.18323,B1205,OSM - as it is,dormitory,10,0,30,3,34.18323
103.7818321,1.291040103,46.45403,B1206,OSM - as it is,dormitory,8,0,24,3,46.45403
103.7808205,1.2908573,49.42404,B1207,OSM - as it is,dormitory,8,0,24,3,49.42404
103.7814843,1.29087725,49.42904,B1208,OSM - as it is,dormitory,8,0,24,3,49.42904
103.7801497,1.291483865,58.37404,B1209,OSM - as it is,dormitory,10,0,30,3,58.37404
103.7805439,1.29097685,49.42403,B1210,OSM - as it is,dormitory,10,0,30,3,49.42403
103.7826496,1.291424527,63.20759,B1211,OSM - as it is,dormitory,8,0,24,3,63.20759
103.7824161,1.291310451,62.09724,B1212,OSM - as it is,dormitory,8,0,24,3,62.09724
103.7828905,1.291541727,65.28743,B1213,OSM - as it is,dormitory,8,0,24,3,65.28743
103.7815847,1.290634628,48.44758,B1214,OSM - as it is,dormitory,8,0,24,3,48.44758
103.782178,1.291196682,58.54193,B1215,OSM - as it is,dormitory,8,0,24,3,58.54193
103.7816962,1.290279094,25.55387,B1216,OSM - as it is,dormitory,8,0,24,3,25.55387
103.7819019,1.290482934,57.97872,B1217,OSM - as it is,dormitory,8,0,24,3,57.97872
103.7808436,1.290379693,30.56356,B1218,OSM - as it is,yes,3,0,9,3,30.56356
103.7813611,1.291677748,62.34719,B1219,OSM - as it is,yes,3,0,9,3,62.34719
103.7809405,1.292282447,44.30532,B1220,OSM - as it is,yes,3,0,9,3,44.30532
103.7803496,1.293265563,67.61998,B1221,OSM - as it is,yes,3,0,9,3,67.61998
103.780611,1.29276535,40.13703,B1222,OSM - as it is,yes,3,0,9,3,40.13703
103.7805158,1.29336105,76.44869,B1223,OSM - as it is,yes,3,0,9,3,76.44869
103.7808368,1.29302545,49.10426,B1224,OSM - as it is,yes,3,0,9,3,49.10426
103.7802968,1.293126291,58.98253,B1225,OSM - as it is,yes,3,0,9,3,58.98253
103.780743,1.2928421,44.55812,B1226,OSM - as it is,yes,3,0,9,3,44.55812
103.7807947,1.291405054,46.71894,B1227,OSM - as it is,yes,3,0,9,3,46.71894
103.781352,1.2913441,51.5806,B1228,OSM - as it is,yes,3,0,9,3,51.5806
103.780222,1.292992308,57.03588,B1229,OSM - as it is,yes,3,0,9,3,57.03588
103.7809884,1.2916412,54.08626,B1230,OSM - as it is,yes,3,0,9,3,54.08626
103.7814303,1.2914978,45.92938,B1231,OSM - as it is,yes,3,0,9,3,45.92938
103.780904,1.29149055,39.64609,B1232,OSM - as it is,yes,3,0,9,3,39.64609
103.7731977,1.300321126,17.82345,B1233,User - Input,yes,3,0,9,3,17.82345
103.7729681,1.29988765,30.2152,B1234,User - Input,yes,3,0,9,3,30.2152
103.7733114,1.299509883,30.12625,B1235,User - Input,yes,3,0,9,3,30.12625
103.7726294,1.300283224,28.33232,B1236,User - Input,yes,3,0,9,3,28.33232
103.7736122,1.300340102,46.5428,B1237,User - Input,yes,8,0,24,3,46.5428
103.7738799,1.299869023,24.22607,B1238,User - Input,yes,3,0,9,3,24.22607
103.7798994,1.291589949,24.89771,B1239,OSM - median values of all buildings,roof,1,1,3,3,24.89771
103.7813555,1.290456234,28.87466,B1240,OSM - as it is,yes,3,0,9,3,28.87466
103.7811488,1.290960432,38.87607,B1241,OSM - median values of all buildings,roof,1,1,3,3,38.87607
103.7745572,1.29749245,77.43297,B1242,User - Input,yes,2,1,6,3,77.43297
103.7748775,1.2973469,77.01373,B1243,User - Input,yes,2,1,6,3,77.01373
103.775146,1.297193116,76.89518,B1244,User - Input,yes,2,1,6,3,76.89518
103.7753719,1.296941334,77.15413,B1245,User - Input,yes,2,1,6,3,77.15413
103.7718131,1.301371738,17.79532,B1246,OSM - median values of all buildings,roof,1,1,3,3,17.79532
103.7799928,1.292408294,30.46828,B1247,User - Input,yes,2,1,6,3,30.46828
103.7797288,1.292567264,34.94112,B1248,OSM - as it is,yes,3,1,9,3,34.94112
103.779519,1.292662191,31.05407,B1249,OSM - as it is,yes,3,1,9,3,31.05407
103.7792886,1.292898309,37.23406,B1250,OSM - as it is,yes,3,1,9,3,37.23406
103.7743356,1.304076214,50.91096,B1251,OSM - as it is,yes,7,1,21,3,50.91096
103.7767963,1.297914752,46.98727,B1252,User - Input,residential,8,0,24,3,46.98727
103.7762319,1.297692106,40.97084,B1253,User - Input,residential,4,0,12,3,40.97084
103.7764097,1.298118136,35.06595,B1254,User - Input,residential,4,0,12,3,35.06595
103.7758878,1.298081764,42.55535,B1255,User - Input,residential,4,0,12,3,42.55535
103.7757378,1.298453069,40.06261,B1256,User - Input,residential,4,0,12,3,40.06261
103.7761846,1.298595762,36.30576,B1257,User - Input,residential,4,0,12,3,36.30576
103.7800388,1.296362796,28.81277,B1258,User - Input,yes,2,1,6,3,28.81277
103.7780588,1.292859,27.18475,B1259,User - Input,school,2,0,6,3,27.18475
103.778455,1.292804862,34.18903,B1260,OSM - as it is,yes,3,1,9,3,34.18903
103.7785895,1.294580702,82.15525,B1261,OSM - median values of all buildings,yes,1,1,3,3,82.15525
103.7782828,1.29421705,64.19453,B1262,OSM - median values of all buildings,yes,1,1,3,3,64.19453
103.7800913,1.29417015,63.49403,B1263,OSM - median values of all buildings,yes,1,1,3,3,63.49403
103.7796795,1.294564321,70.22267,B1264,OSM - median values of all buildings,yes,1,1,3,3,70.22267
103.781398,1.2922864,56.76869,B1265,OSM - as it is,yes,3,1,9,3,56.76869
103.7804524,1.2938205,69.16814,B1266,OSM - median values of all buildings,yes,1,1,3,3,69.16814
103.7786606,1.294184,60.35417,B1267,OSM - median values of all buildings,yes,1,1,3,3,60.35417
103.7802672,1.29389655,63.01176,B1268,OSM - median values of all buildings,yes,1,1,3,3,63.01176
103.781104,1.293209418,55.7776,B1269,OSM - as it is,yes,3,1,9,3,55.7776
103.7799697,1.294443721,71.45579,B1270,OSM - median values of all buildings,yes,1,1,3,3,71.45579
103.7805365,1.29366934,68.45878,B1271,OSM - median values of all buildings,yes,1,1,3,3,68.45878
103.7811382,1.293059681,54.56263,B1272,OSM - as it is,yes,3,1,9,3,54.56263
103.7781922,1.29430899,59.10925,B1273,OSM - median values of all buildings,yes,1,1,3,3,59.10925
103.7750064,1.291643863,36.31482,B1274,User - Input,residential,7,0,21,3,36.31482
103.7752818,1.291512703,35.40761,B1275,User - Input,residential,7,0,21,3,35.40761
103.7741178,1.291714841,29.66645,B1276,User - Input,residential,7,0,21,3,29.66645
103.7743722,1.291553934,33.58082,B1277,User - Input,residential,7,0,21,3,33.58082
103.7746962,1.291482185,28.53382,B1278,User - Input,residential,7,0,21,3,28.53382
103.7749022,1.291323309,31.13682,B1279,User - Input,residential,7,0,21,3,31.13682
103.77542,1.291125094,32.22699,B1280,OSM - as it is,residential,9,0,27,3,32.22699
103.7756921,1.291047166,13.69854,B1281,User - Input,residential,7,0,21,3,13.69854
103.7771579,1.296040276,67.52569,B1282,OSM - median values of all buildings,yes,1,1,3,3,67.52569
103.7769408,1.295991995,71.72527,B1283,OSM - median values of all buildings,yes,1,1,3,3,71.72527
103.7769763,1.295869026,73.3174,B1284,OSM - median values of all buildings,yes,1,1,3,3,73.3174
103.7770716,1.295860296,72.32604,B1285,OSM - median values of all buildings,yes,1,1,3,3,72.32604
103.7701985,1.295329128,31.69596,B1286,User - Input,yes,3,0,9,3,31.69596
103.7789388,1.294662681,71.28165,B1287,OSM - median values of all buildings,yes,1,1,3,3,71.28165
103.7790978,1.294680696,68.93139,B1288,OSM - median values of all buildings,yes,1,1,3,3,68.93139
103.7741446,1.3014068,15.71186,B1289,User - Input,yes,2,1,6,3,15.71186
103.7766838,1.293115842,64.37253,B1290,User - Input,yes,5,1,15,3,64.37253
103.7768385,1.297374348,37.50132,B1291,User - Input,yes,4,0,12,3,37.50132
103.7703804,1.299431926,41.30848,B1292,OSM - as it is,yes,3,1,9,3,41.30848
103.7745144,1.291779697,10.31957,B1293,User - Input,residential,7,0,21,3,10.31957
103.7751809,1.291249721,31.03863,B1294,User - Input,residential,7,0,21,3,31.03863
103.7703538,1.296804004,47.43769,B1295,OSM - as it is,university,7,1,21,3,47.43769
103.7713817,1.298761446,76.12258,B1296,User - Input,yes,6,0,18,3,76.12258
103.7759666,1.290945823,33.8702,B1297,User - Input,residential,7,0,21,3,33.8702
103.7761027,1.291373454,33.79098,B1298,OSM - median values of all buildings,yes,1,1,3,3,33.79098
103.7760173,1.291406082,37.24099,B1299,OSM - median values of all buildings,yes,1,1,3,3,37.24099
103.7753495,1.301045696,26.03743,B1300,OSM - as it is,yes,5,1,15,3,26.03743
103.7754489,1.299723422,45.65509,B1301,OSM - as it is,stadium,3,1,9,3,45.65509
103.7715148,1.297944958,41.56712,B1302,OSM - as it is,yes,3,1,9,3,41.56712
103.7724447,1.306644228,14.34099,B1303,User - Input,yes,1,0,3,0,14.34099
103.7721864,1.308124692,34.94358,B1304,OSM - as it is,yes,4,1,12,3,34.94358
103.7723124,1.305803018,30.00514,B1305,OSM - median values of all buildings,yes,1,1,3,3,30.00514
103.7720504,1.305542454,28.10398,B1306,OSM - as it is,yes,5,1,15,3,28.10398
103.7722826,1.305607765,94.19609,B1307,OSM - as it is,yes,22,1,66,3,94.19609
103.7718031,1.305596145,80.49901,B1308,OSM - as it is,yes,19,1,57,3,80.49901
103.7717833,1.305855715,26.00451,B1309,OSM - as it is,yes,4,1,12,3,26.00451
103.7721216,1.306544191,26.66398,B1310,OSM - as it is,yes,4,1,12,3,26.66398
103.7717941,1.306438625,12.07,B1311,OSM - as it is,yes,3,1,9,3,12.07
