METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.01,0.31,0.37,0.0,0.09,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.31,0.37,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.31,0.37,0.0,0.07,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.31,0.37,0.0,0.04,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.32,0.37,0.0,0.04,OFF,OFF,0.0,0.0,WEEKDAY,5
0.01,0.33,0.38,0.0,0.06,OFF,OFF,0.0,0.0,WEEKDAY,6
0.1,0.33,0.38,0.0,0.05,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.26,0.34,0.38,0.0,0.29,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.79,0.73,0.84,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.79,0.73,0.84,0.0,0.4,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.73,0.74,0.85,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.82,0.75,0.85,0.0,0.47,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.59,0.67,0.76,0.0,0.53,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.88,0.74,0.85,0.0,0.49,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.79,0.74,0.84,0.0,0.33,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.73,0.74,0.84,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.75,0.74,0.85,0.0,0.41,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.36,0.44,0.48,0.0,0.29,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.3,0.36,0.39,0.0,0.29,OFF,OFF,0.0,0.0,WEEKDAY,19
0.3,0.36,0.38,0.0,0.26,OFF,OFF,0.0,0.0,WEEKDAY,20
0.3,0.35,0.38,0.0,0.25,OFF,OFF,0.0,0.0,WEEKDAY,21
0.22,0.35,0.38,0.0,0.2,OFF,OFF,0.0,0.0,WEEKDAY,22
0.14,0.32,0.37,0.0,0.15,OFF,OFF,0.0,0.0,WEEKDAY,23
0.09,0.31,0.37,0.0,0.1,OFF,OFF,0.0,0.0,WEEKDAY,24
0.01,0.23,0.28,0.0,0.09,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.23,0.28,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.23,0.28,0.0,0.07,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.23,0.28,0.0,0.04,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.24,0.28,0.0,0.04,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.26,0.28,0.0,0.06,OFF,OFF,0.0,0.0,SATURDAY,6
0.09,0.33,0.38,0.0,0.05,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.22,0.34,0.38,0.0,0.08,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.36,0.42,0.47,0.0,0.11,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.33,0.43,0.48,0.0,0.28,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.27,0.44,0.48,0.0,0.25,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.34,0.45,0.48,0.0,0.3,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.22,0.33,0.34,0.0,0.27,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.22,0.33,0.34,0.0,0.25,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.17,0.32,0.34,0.0,0.21,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.16,0.32,0.34,0.0,0.19,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.16,0.33,0.34,0.0,0.19,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.12,0.29,0.3,0.0,0.15,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.24,0.29,0.29,0.0,0.19,OFF,OFF,0.0,0.0,SATURDAY,19
0.26,0.28,0.29,0.0,0.19,OFF,OFF,0.0,0.0,SATURDAY,20
0.2,0.28,0.29,0.0,0.18,OFF,OFF,0.0,0.0,SATURDAY,21
0.19,0.27,0.29,0.0,0.2,OFF,OFF,0.0,0.0,SATURDAY,22
0.16,0.25,0.28,0.0,0.14,OFF,OFF,0.0,0.0,SATURDAY,23
0.1,0.23,0.28,0.0,0.11,OFF,OFF,0.0,0.0,SATURDAY,24
0.01,0.23,0.28,0.0,0.09,OFF,OFF,0.0,0.0,SUNDAY,1
0.0,0.23,0.28,0.0,0.08,OFF,OFF,0.0,0.0,SUNDAY,2
0.0,0.23,0.28,0.0,0.08,OFF,OFF,0.0,0.0,SUNDAY,3
0.0,0.23,0.28,0.0,0.03,OFF,OFF,0.0,0.0,SUNDAY,4
