METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.02,0.33,0.37,0.0,0.11,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.33,0.37,0.0,0.09,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.33,0.37,0.0,0.09,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.33,0.37,0.0,0.03,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.34,0.38,0.0,0.03,OFF,OFF,0.0,0.0,WEEKDAY,5
0.02,0.35,0.38,0.0,0.05,OFF,OFF,0.0,0.0,WEEKDAY,6
0.1,0.35,0.38,0.0,0.04,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.29,0.35,0.38,0.0,0.35,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.71,0.77,0.85,0.0,0.43,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.71,0.78,0.85,0.0,0.41,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.62,0.78,0.85,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.75,0.79,0.86,0.0,0.46,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.63,0.7,0.76,0.0,0.5,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.84,0.78,0.85,0.0,0.47,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.71,0.78,0.85,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.62,0.78,0.85,0.0,0.32,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.64,0.78,0.85,0.0,0.39,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.39,0.46,0.48,0.0,0.31,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.41,0.37,0.39,0.0,0.34,OFF,OFF,0.0,0.0,WEEKDAY,19
0.41,0.37,0.39,0.0,0.32,OFF,OFF,0.0,0.0,WEEKDAY,20
0.41,0.36,0.39,0.0,0.3,OFF,OFF,0.0,0.0,WEEKDAY,21
0.28,0.36,0.38,0.0,0.26,OFF,OFF,0.0,0.0,WEEKDAY,22
0.18,0.34,0.38,0.0,0.2,OFF,OFF,0.0,0.0,WEEKDAY,23
0.12,0.33,0.37,0.0,0.13,OFF,OFF,0.0,0.0,WEEKDAY,24
0.02,0.25,0.28,0.0,0.11,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.25,0.28,0.0,0.09,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.25,0.28,0.0,0.09,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.25,0.28,0.0,0.03,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.25,0.28,0.0,0.03,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.27,0.29,0.0,0.05,OFF,OFF,0.0,0.0,SATURDAY,6
0.08,0.35,0.38,0.0,0.04,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.28,0.35,0.38,0.0,0.07,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.39,0.44,0.48,0.0,0.09,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.34,0.45,0.48,0.0,0.32,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.26,0.46,0.48,0.0,0.29,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.37,0.46,0.49,0.0,0.33,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.28,0.34,0.34,0.0,0.32,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.28,0.33,0.34,0.0,0.29,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.21,0.33,0.34,0.0,0.25,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.19,0.33,0.34,0.0,0.23,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.19,0.33,0.34,0.0,0.22,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.16,0.29,0.3,0.0,0.2,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.34,0.29,0.3,0.0,0.25,OFF,OFF,0.0,0.0,SATURDAY,19
0.39,0.29,0.29,0.0,0.25,OFF,OFF,0.0,0.0,SATURDAY,20
0.31,0.28,0.29,0.0,0.24,OFF,OFF,0.0,0.0,SATURDAY,21
0.29,0.28,0.29,0.0,0.27,OFF,OFF,0.0,0.0,SATURDAY,22
0.24,0.26,0.29,0.0,0.18,OFF,OFF,0.0,0.0,SATURDAY,23
0.15,0.25,0.28,0.0,0.15,OFF,OFF,0.0,0.0,SATURDAY,24
0.02,0.25,0.28,0.0,0.12,OFF,OFF,0.0,0.0,SUNDAY,1
0.0,0.25,0.28,0.0,0.1,OFF,OFF,0.0,0.0,SUNDAY,2
0.0,0.25,0.28,0.0,0.1,OFF,OFF,0.0,0.0,SUNDAY,3
0.0,0.25,0.28,0.0,0.02,OFF,OFF,0.0,0.0,SUNDAY,4
0.0,0.25,0.28,0.0,0.02,OFF,OFF,0.0,0.0,SUNDAY,5
0.0,0.27,0.29,0.0,0.04,OFF,OFF,0.0,0.0,SUNDAY,6
0.05,0.27,0.29,0.0,0.02,OFF,SETPOINT,0.0,0.0,SUNDAY,7
0.25,0.27,0.29,0.0,0.02,OFF,SETPOINT,0.0,0.0,SUNDAY,8
0.25,0.28,0.29,0.0,0.02,OFF,SETPOINT,0.0,0.0,SUNDAY,9
0.12,0.28,0.29,0.0,0.02,OFF,SETPOINT,0.0,0.0,SUNDAY,10
0.12,0.29,0.3,0.0,0.22,OFF,SETPOINT,0.0,0.0,SUNDAY,11
0.16,0.3,0.3,0.0,0.23,OFF,SETPOINT,0.0,0.0,SUNDAY,12
0.25,0.29,0.3,0.0,0.19,OFF,SETPOINT,0.0,0.0,SUNDAY,13
0.25,0.29,0.3,0.0,0.21,OFF,SETPOINT,0.0,0.0,SUNDAY,14
0.16,0.29,0.3,0.0,0.15,OFF,SETPOINT,0.0,0.0,SUNDAY,15
0.12,0.29,0.3,0.0,0.14,OFF,SETPOINT,0.0,0.0,SUNDAY,16
0.14,0.29,0.3,0.0,0.14,OFF,SETPOINT,0.0,0.0,SUNDAY,17
0.18,0.29,0.3,0.0,0.18,OFF,SETPOINT,0.0,0.0,SUNDAY,18
0.24,0.29,0.3,0.0,0.22,OFF,OFF,0.0,0.0,SUNDAY,19
0.29,0.29,0.29,0.0,0.22,OFF,OFF,0.0,0.0,SUNDAY,20
0.31,0.28,0.29,0.0,0.18,OFF,OFF,0.0,0.0,SUNDAY,21
0.15,0.28,0.29,0.0,0.24,OFF,OFF,0.0,0.0,SUNDAY,22
0.09,0.26,0.29,0.0,0.18,OFF,OFF,0.0,0.0,SUNDAY,23
0.09,0.25,0.28,0.0,0.1,OFF,OFF,0.0,0.0,SUNDAY,24
