Name,Af_m2,Aroof_m2,GFA_m2,Aocc_m2,people0,PV_MWhyr,GRID_MWhyr,GRID_a_MWhyr,GRID_l_MWhyr,GRID_v_MWhyr,GRID_ve_MWhyr,GRID_data_MWhyr,GRID_pro_MWhyr,GRID_aux_MWhyr,GRID_ww_MWhyr,GRID_hs_MWhyr,GRID_cs_MWhyr,GRID_cdata_MWhyr,GRID_cre_MWhyr,E_sys_MWhyr,Eal_MWhyr,Ea_MWhyr,El_MWhyr,Ev_MWhyr,Eve_MWhyr,Edata_MWhyr,Epro_MWhyr,Eaux_MWhyr,E_ww_MWhyr,E_hs_MWhyr,E_cs_MWhyr,E_cre_MWhyr,E_cdata_MWhyr,Qhs_sen_shu_MWhyr,Qhs_sen_ahu_MWhyr,Qhs_lat_ahu_MWhyr,Qhs_sen_aru_MWhyr,Qhs_lat_aru_MWhyr,Qhs_sen_sys_MWhyr,Qhs_lat_sys_MWhyr,Qhs_em_ls_MWhyr,Qhs_dis_ls_MWhyr,Qhs_sys_shu_MWhyr,Qhs_sys_ahu_MWhyr,Qhs_sys_aru_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sys_ahu_MWhyr,Qcs_sys_aru_MWhyr,DH_hs_MWhyr,Qhs_sys_MWhyr,Qhs_MWhyr,DH_ww_MWhyr,Qww_sys_MWhyr,Qww_MWhyr,DC_cs_MWhyr,Qcs_sys_MWhyr,Qcs_MWhyr,DC_cre_MWhyr,Qcre_sys_MWhyr,Qcre_MWhyr,DC_cdata_MWhyr,Qcdata_sys_MWhyr,Qcdata_MWhyr,NG_hs_MWhyr,COAL_hs_MWhyr,OIL_hs_MWhyr,WOOD_hs_MWhyr,SOLAR_hs_MWhyr,NG_ww_MWhyr,COAL_ww_MWhyr,OIL_ww_MWhyr,WOOD_ww_MWhyr,SOLAR_ww_MWhyr,Qcs_sen_scu_MWhyr,Qcs_sen_ahu_MWhyr,Qcs_lat_ahu_MWhyr,Qcs_sen_aru_MWhyr,Qcs_lat_aru_MWhyr,Qcs_sen_sys_MWhyr,Qcs_lat_sys_MWhyr,Qcs_em_ls_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Qcpro_sys_MWhyr,QH_sys_MWhyr,QC_sys_MWhyr,PV0_kW,GRID0_kW,GRID_a0_kW,GRID_l0_kW,GRID_v0_kW,GRID_ve0_kW,GRID_data0_kW,GRID_pro0_kW,GRID_aux0_kW,GRID_ww0_kW,GRID_hs0_kW,GRID_cs0_kW,GRID_cdata0_kW,GRID_cre0_kW,E_sys0_kW,Eal0_kW,Ea0_kW,El0_kW,Ev0_kW,Eve0_kW,Edata0_kW,Epro0_kW,Eaux0_kW,E_ww0_kW,E_hs0_kW,E_cs0_kW,E_cre0_kW,E_cdata0_kW,Qhs_sen_shu0_kW,Qhs_sen_ahu0_kW,Qhs_lat_ahu0_kW,Qhs_sen_aru0_kW,Qhs_lat_aru0_kW,Qhs_sen_sys0_kW,Qhs_lat_sys0_kW,Qhs_em_ls0_kW,Qhs_dis_ls0_kW,Qhs_sys_shu0_kW,Qhs_sys_ahu0_kW,Qhs_sys_aru0_kW,Qcs_sys_scu0_kW,Qcs_sys_ahu0_kW,Qcs_sys_aru0_kW,DH_hs0_kW,Qhs_sys0_kW,Qhs0_kW,DH_ww0_kW,Qww_sys0_kW,Qww0_kW,DC_cs0_kW,Qcs_sys0_kW,Qcs0_kW,DC_cre0_kW,Qcre_sys0_kW,Qcre0_kW,DC_cdata0_kW,Qcdata_sys0_kW,Qcdata0_kW,NG_hs0_kW,COAL_hs0_kW,OIL_hs0_kW,WOOD_hs0_kW,SOLAR_hs0_kW,NG_ww0_kW,COAL_ww0_kW,OIL_ww0_kW,WOOD_ww0_kW,SOLAR_ww0_kW,Qcs_sen_scu0_kW,Qcs_sen_ahu0_kW,Qcs_lat_ahu0_kW,Qcs_sen_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_sys0_kW,Qcs_lat_sys0_kW,Qcs_em_ls0_kW,Qcs_dis_ls0_kW,Qhpro_sys0_kW,Qcpro_sys0_kW,QH_sys0_kW,QC_sys0_kW
B1000,4637.077,2648.450,18548.310,18548.310,927.000,0.000,2920.839,1200.301,900.226,0.000,232.687,0.000,0.000,2.631,0.000,0.000,584.994,0.000,0.000,2335.845,2100.527,1200.301,900.226,0.000,232.687,0.000,0.000,2.631,0.000,0.000,584.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1606.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1606.291,-1560.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1132.198,-428.460,-1132.198,428.460,-44.017,-1.617,0.000,0.000,0.000,1606.291,0.000,723.103,240.386,180.290,0.000,87.009,0.000,0.000,1.180,0.000,0.000,214.239,0.000,0.000,508.864,420.676,240.386,180.290,0.000,87.009,0.000,0.000,1.180,0.000,0.000,214.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,588.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,200.491,0.000,0.000,0.000,0.000,0.000,588.262
B1001,1236.583,1648.780,4946.334,4946.334,208.000,0.000,785.380,185.550,255.132,0.000,91.914,0.000,0.000,0.917,0.000,0.000,251.867,0.000,0.000,533.513,440.682,185.550,255.132,0.000,91.914,0.000,0.000,0.917,0.000,0.000,251.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-691.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,691.583,-672.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-437.865,-234.464,-437.865,234.464,-17.445,-1.808,0.000,0.000,0.000,691.583,0.000,149.946,32.052,44.072,0.000,22.179,0.000,0.000,0.243,0.000,0.000,52.408,0.000,0.000,98.544,76.124,32.052,44.072,0.000,22.179,0.000,0.000,0.243,0.000,0.000,52.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-31.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,143.904,-30.736,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-13.105,-16.736,-13.105,42.822,-0.872,-0.063,0.000,0.000,0.000,143.904
B1002,2699.708,2159.780,10798.832,10798.832,540.000,0.000,1726.789,698.816,524.112,0.000,144.661,0.000,0.000,1.539,0.000,0.000,357.661,0.000,0.000,1369.128,1222.928,698.816,524.112,0.000,144.661,0.000,0.000,1.539,0.000,0.000,357.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-982.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,982.073,-953.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-703.874,-249.462,-703.874,249.462,-27.318,-1.420,0.000,0.000,0.000,982.073,0.000,429.225,139.953,104.965,0.000,53.587,0.000,0.000,0.691,0.000,0.000,130.030,0.000,0.000,299.195,244.918,139.953,104.965,0.000,53.587,0.000,0.000,0.691,0.000,0.000,130.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,357.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.714,0.000,0.000,0.000,0.000,0.000,357.040
B1003,9378.869,5361.150,37515.475,37515.475,3334.000,0.000,3006.264,309.034,1066.169,0.000,448.560,0.000,0.000,5.534,0.000,0.000,1176.966,0.000,0.000,1829.298,1375.203,309.034,1066.169,0.000,448.560,0.000,0.000,5.534,0.000,0.000,1176.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3231.743,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3231.743,-3148.354,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2164.566,-983.788,-2164.566,983.788,-80.962,-2.427,0.000,0.000,0.000,3231.743,0.000,948.783,60.775,209.674,0.000,194.669,0.000,0.000,2.825,0.000,0.000,480.839,0.000,0.000,467.943,270.449,60.775,209.674,0.000,194.669,0.000,0.000,2.825,0.000,0.000,480.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1320.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,417.118,0.000,0.000,0.000,0.000,0.000,1320.300
B1004,5405.604,5405.620,21622.417,21622.417,2023.000,0.000,3182.449,868.106,743.886,0.000,363.370,0.000,0.000,4.707,284.255,0.000,918.125,0.000,0.000,1980.069,1611.992,868.106,743.886,0.000,363.370,0.000,0.000,4.707,284.255,0.000,918.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2521.010,0.000,0.000,0.000,0.000,255.830,240.564,0.000,2521.010,-2451.283,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1760.241,-691.042,-1760.241,691.042,-67.169,-2.558,0.000,0.000,255.830,2521.010,0.000,919.978,174.581,150.077,0.000,167.241,0.000,0.000,2.567,59.715,0.000,377.571,0.000,0.000,487.048,324.658,174.581,150.077,0.000,167.241,0.000,0.000,2.567,59.715,0.000,377.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.743,50.698,0.000,1036.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,244.230,0.000,0.000,0.000,0.000,53.743,1036.745
B1005,2158.905,2196.010,10794.527,10794.527,540.000,0.000,1650.444,698.537,523.903,0.000,123.085,0.000,0.000,1.203,0.000,0.000,303.716,0.000,0.000,1346.728,1222.440,698.537,523.903,0.000,123.085,0.000,0.000,1.203,0.000,0.000,303.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-833.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,833.950,-809.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-598.197,-211.377,-598.197,211.377,-23.103,-1.272,0.000,0.000,0.000,833.950,0.000,407.616,139.897,104.923,0.000,47.826,0.000,0.000,0.568,0.000,0.000,114.498,0.000,0.000,293.174,244.820,139.897,104.923,0.000,47.826,0.000,0.000,0.568,0.000,0.000,114.498,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,314.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93.782,0.000,0.000,0.000,0.000,0.000,314.391
B1006,10115.147,10099.970,50575.733,50575.733,4046.000,0.000,5761.888,1458.165,2249.741,0.000,582.645,0.000,0.000,7.936,0.000,0.000,1463.401,0.000,0.000,4298.487,3707.906,1458.165,2249.741,0.000,582.645,0.000,0.000,7.936,0.000,0.000,1463.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4018.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4018.242,-3908.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2818.398,-1089.738,-2818.398,1089.738,-105.875,-4.231,0.000,0.000,0.000,4018.242,0.000,1554.036,286.764,442.437,0.000,241.761,0.000,0.000,3.944,0.000,0.000,579.130,0.000,0.000,974.906,729.201,286.764,442.437,0.000,241.761,0.000,0.000,3.944,0.000,0.000,579.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1590.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,450.004,0.000,0.000,0.000,0.000,0.000,1590.190
B1007,2756.232,2753.180,11024.929,11024.929,979.000,0.000,902.987,90.818,313.322,0.000,138.715,0.000,0.000,1.447,0.000,0.000,358.685,0.000,0.000,544.302,404.140,90.818,313.322,0.000,138.715,0.000,0.000,1.447,0.000,0.000,358.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-984.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,984.886,-958.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-669.380,-289.040,-669.380,289.040,-25.044,-1.421,0.000,0.000,0.000,984.886,0.000,284.116,17.860,61.618,0.000,59.228,0.000,0.000,0.736,0.000,0.000,144.799,0.000,0.000,139.440,79.479,17.860,61.618,0.000,59.228,0.000,0.000,0.736,0.000,0.000,144.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,397.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.581,0.000,0.000,0.000,0.000,0.000,397.593
B1008,5180.648,4141.070,20722.590,20722.590,1036.000,0.000,3355.073,1341.004,1005.753,0.000,283.814,0.000,0.000,2.999,0.000,0.000,721.503,0.000,0.000,2633.570,2346.756,1341.004,1005.753,0.000,283.814,0.000,0.000,2.999,0.000,0.000,721.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1981.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1981.121,-1925.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1380.397,-545.282,-1380.397,545.282,-53.468,-1.973,0.000,0.000,0.000,1981.121,0.000,840.156,268.565,201.424,0.000,106.113,0.000,0.000,1.334,0.000,0.000,263.129,0.000,0.000,577.433,469.988,268.565,201.424,0.000,106.113,0.000,0.000,1.334,0.000,0.000,263.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,722.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,267.834,0.000,0.000,0.000,0.000,0.000,722.505
B1009,4154.750,8309.540,24928.500,24928.500,1246.000,0.000,3632.955,1613.177,1209.883,0.000,229.205,0.000,0.000,2.865,0.000,0.000,577.826,0.000,0.000,3055.130,2823.060,1613.177,1209.883,0.000,229.205,0.000,0.000,2.865,0.000,0.000,577.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1586.608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1586.608,-1540.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1113.092,-426.918,-1113.092,426.918,-43.082,-3.515,0.000,0.000,0.000,1586.608,0.000,881.093,323.073,242.305,0.000,91.631,0.000,0.000,1.373,0.000,0.000,222.711,0.000,0.000,658.382,565.378,323.073,242.305,0.000,91.631,0.000,0.000,1.373,0.000,0.000,222.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,611.525,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,181.693,0.000,0.000,0.000,0.000,0.000,611.525
